,Player,Tm,Age,Pos,G,Tgt,Rec,Ctch%,Yds,Y/R,TD,Y/Tgt,R/G,Y/G,Player-additional,Cmp,Att,P_Yds,P_TD,Year
24,RobertWoods,LAR,26,WR,16,130.0,86,66.2%,1219,14.2,6,9.4,5.4,76.2,WoodRo02,368.0,568.0,4507.0,32.0,2018
25,RobertWoods,LAR,25,WR,12,85.0,56,65.9%,781,13.9,5,9.2,4.7,65.1,WoodRo02,320.0,518.0,3831.0,28.0,2017
26,RobertWoods,BUF,24,WR,13,76.0,51,67.1%,613,12.0,1,8.1,3.9,47.2,WoodRo02,286.0,474.0,3036.0,17.0,2016
27,RobertWoods,BUF,23,WR,14,80.0,47,58.8%,552,11.7,3,6.9,3.4,39.4,WoodRo02,295.0,465.0,3343.0,23.0,2015
28,RobertWoods,BUF,22,WR,16,104.0,65,62.5%,699,10.8,5,6.7,4.1,43.7,WoodRo02,363.0,579.0,3614.0,23.0,2014
29,RobertWoods,BUF,21,WR,14,85.0,40,47.1%,587,14.7,3,6.9,2.9,41.9,WoodRo02,299.0,522.0,3103.0,16.0,2013
30,MarquessWilson,CHI,24,WR,3,16.0,9,56.3%,160,17.8,1,10.0,3.0,53.3,WilsMa02,347.0,559.0,3969.0,19.0,2016
31,MarquessWilson,CHI,23,WR,11,51.0,28,54.9%,464,16.6,1,9.1,2.5,42.2,WilsMa02,334.0,523.0,3660.0,21.0,2015
32,MarquessWilson,CHI,22,WR,7,32.0,17,53.1%,140,8.2,1,4.4,2.4,20.0,WilsMa02,396.0,609.0,3792.0,30.0,2014
33,MarquessWilson,CHI,21,WR,10,3.0,2,66.7%,13,6.5,0,4.3,0.2,1.3,WilsMa02,373.0,579.0,4281.0,32.0,2013
34,CedrickWilsonJr,MIA,27,WR,15,18.0,12,66.7%,136,11.3,0,7.6,0.8,9.1,WilsCe01,368.0,584.0,4511.0,30.0,2022
35,CedrickWilsonJr,DAL,26,WR,16,61.0,45,73.8%,602,13.4,6,9.9,2.8,37.6,WilsCe01,444.0,647.0,4800.0,40.0,2021
36,CedrickWilsonJr,DAL,25,WR,16,28.0,17,60.7%,189,11.1,2,6.8,1.1,11.8,WilsCe01,413.0,639.0,4161.0,25.0,2020
37,CedrickWilsonJr,DAL,24,WR,6,8.0,5,62.5%,46,9.2,0,5.8,0.8,7.7,WilsCe01,388.0,597.0,4751.0,30.0,2019
38,AlbertWilson,MIA,29,WR,14,39.0,25,64.1%,213,8.5,0,5.5,1.8,15.2,WilsAl02,404.0,615.0,3651.0,21.0,2021
39,AlbertWilson,MIA,27,WR,13,62.0,43,69.4%,351,8.2,1,5.7,3.3,27.0,WilsAl02,371.0,615.0,3804.0,22.0,2019
40,AlbertWilson,MIA,26,WR,7,35.0,26,74.3%,391,15.0,4,11.2,3.7,55.9,WilsAl02,292.0,455.0,2900.0,26.0,2018
41,AlbertWilson,KAN,25,WR,13,62.0,42,67.7%,554,13.2,3,8.9,3.2,42.6,WilsAl02,363.0,543.0,4104.0,26.0,2017
42,AlbertWilson,KAN,24,WR,16,51.0,31,60.8%,279,9.0,2,5.5,1.9,17.4,WilsAl02,365.0,546.0,3740.0,19.0,2016
43,AlbertWilson,KAN,23,WR,14,57.0,35,61.4%,451,12.9,2,7.9,2.5,32.2,WilsAl02,310.0,473.0,3255.0,20.0,2015
44,AlbertWilson,KAN,22,WR,12,28.0,16,57.1%,260,16.3,0,9.3,1.3,21.7,WilsAl02,320.0,493.0,3182.0,18.0,2014
45,TyrellWilliams,DET,29,WR,1,3.0,2,66.7%,14,7.0,0,4.7,2.0,14.0,WillTy00,396.0,593.0,3598.0,23.0,2021
46,TyrellWilliams,LVR,27,WR,14,64.0,42,65.6%,651,15.5,6,10.2,3.0,46.5,WillTy00,367.0,523.0,3926.0,22.0,2019
47,TyrellWilliams,LAC,26,WR,16,65.0,41,63.1%,653,15.9,5,10.0,2.6,40.8,WillTy00,348.0,512.0,4089.0,32.0,2018
48,TyrellWilliams,LAC,25,WR,16,69.0,43,62.3%,728,16.9,4,10.6,2.7,45.5,WillTy00,366.0,583.0,4431.0,28.0,2017
49,TyrellWilliams,LAC,24,WR,16,119.0,69,58.0%,1059,15.3,7,8.9,4.3,66.2,WillTy00,349.0,580.0,4198.0,33.0,2016
50,TyrellWilliams,LAC,23,WR,7,6.0,2,33.3%,90,45.0,1,15.0,0.3,12.9,WillTy00,442.0,667.0,4591.0,30.0,2015
51,TerranceWilliams,DAL,29,WR,3,3.0,2,66.7%,18,9.0,0,6.0,0.7,6.0,WillTe01,356.0,527.0,3538.0,22.0,2018
52,TerranceWilliams,DAL,28,WR,16,78.0,53,67.9%,568,10.7,0,7.3,3.3,35.5,WillTe01,309.0,493.0,3141.0,22.0,2017
53,TerranceWilliams,DAL,27,WR,16,61.0,44,72.1%,594,13.5,4,9.7,2.8,37.1,WillTe01,325.0,483.0,3631.0,25.0,2016
54,TerranceWilliams,DAL,26,WR,16,93.0,52,55.9%,840,16.2,3,9.0,3.3,52.5,WillTe01,334.0,528.0,3471.0,16.0,2015
55,TerranceWilliams,DAL,25,WR,16,66.0,37,56.1%,621,16.8,8,9.4,2.3,38.8,WillTe01,328.0,476.0,3784.0,37.0,2014
56,TerranceWilliams,DAL,24,WR,16,74.0,44,59.5%,736,16.7,5,9.9,2.8,46.0,WillTe01,375.0,586.0,3954.0,33.0,2013
57,NickWilliams,ATL,27,WR,1,4.0,3,75.0%,30,10.0,0,7.5,3.0,30.0,WillNi02,343.0,530.0,3990.0,21.0,2017
58,NickWilliams,ATL,26,WR,2,7.0,5,71.4%,59,11.8,0,8.4,2.5,29.5,WillNi02,374.0,537.0,4725.0,38.0,2016
59,NickWilliams,ATL,25,WR,14,25.0,17,68.0%,159,9.4,2,6.4,1.2,11.4,WillNi02,410.0,621.0,4379.0,21.0,2015
60,NickWilliams,WAS,23,WR,5,11.0,3,27.3%,15,5.0,0,1.4,0.6,3.0,WillNi02,355.0,611.0,3751.0,20.0,2013
61,MikeWilliams,LAC,28,WR,13,93.0,63,67.7%,895,14.2,4,9.6,4.8,68.8,WillMi07,485.0,711.0,4584.0,26.0,2022
62,MikeWilliams,LAC,27,WR,16,129.0,76,58.9%,1146,15.1,9,8.9,4.8,71.6,WillMi07,443.0,674.0,4800.0,38.0,2021
63,MikeWilliams,LAC,26,WR,15,85.0,48,56.5%,756,15.8,5,8.9,3.2,50.4,WillMi07,413.0,627.0,4329.0,31.0,2020
64,MikeWilliams,LAC,25,WR,15,90.0,49,54.4%,1001,20.4,2,11.1,3.3,66.7,WillMi07,394.0,597.0,4426.0,24.0,2019
65,MikeWilliams,LAC,24,WR,16,66.0,43,65.2%,664,15.4,10,10.1,2.7,41.5,WillMi07,348.0,512.0,4089.0,32.0,2018
66,MikeWilliams,LAC,23,WR,10,23.0,11,47.8%,95,8.6,0,4.1,1.1,9.5,WillMi07,366.0,583.0,4431.0,28.0,2017
67,KevinWhite,NOR,30,WR,7,5.0,2,40.0%,74,37.0,0,14.8,0.3,10.6,WhitKe00,338.0,512.0,3692.0,24.0,2022
68,KevinWhite,NOR,29,WR,6,5.0,1,20.0%,38,38.0,0,7.6,0.2,6.3,WhitKe00,293.0,504.0,3186.0,29.0,2021
69,KevinWhite,CHI,26,WR,9,8.0,4,50.0%,92,23.0,0,11.5,0.4,10.2,WhitKe00,344.0,512.0,3564.0,28.0,2018
70,KevinWhite,CHI,25,WR,1,4.0,2,50.0%,6,3.0,0,1.5,2.0,6.0,WhitKe00,291.0,473.0,2811.0,13.0,2017
71,KevinWhite,CHI,24,WR,4,36.0,19,52.8%,187,9.8,0,5.2,4.8,46.8,WhitKe00,347.0,559.0,3969.0,19.0,2016
72,MarkusWheaton,CHI,26,WR,11,17.0,3,17.6%,51,17.0,0,3.0,0.3,4.6,WheaMa00,291.0,473.0,2811.0,13.0,2017
73,MarkusWheaton,PIT,25,WR,3,9.0,4,44.4%,51,12.8,1,5.7,1.3,17.0,WheaMa00,381.0,596.0,4202.0,33.0,2016
74,MarkusWheaton,PIT,24,WR,16,79.0,44,55.7%,749,17.0,5,9.5,2.8,46.8,WheaMa00,391.0,590.0,4603.0,26.0,2015
75,MarkusWheaton,PIT,23,WR,16,86.0,53,61.6%,644,12.2,2,7.5,3.3,40.3,WheaMa00,411.0,612.0,4825.0,33.0,2014
76,MarkusWheaton,PIT,22,WR,12,13.0,6,46.2%,64,10.7,0,4.9,0.5,5.3,WheaMa00,377.0,586.0,4017.0,28.0,2013
77,GriffWhalen,BAL,27,WR,2,6.0,4,66.7%,23,5.8,0,3.8,2.0,11.5,WhalGr00,363.0,567.0,3030.0,20.0,2017
78,GriffWhalen,LAC,26,WR,8,4.0,2,50.0%,22,11.0,0,5.5,0.3,2.8,WhalGr00,349.0,580.0,4198.0,33.0,2016
79,GriffWhalen,IND,25,WR,14,26.0,19,73.1%,205,10.8,1,7.9,1.4,14.6,WhalGr00,355.0,619.0,3704.0,26.0,2015
80,GriffWhalen,IND,24,WR,10,3.0,2,66.7%,23,11.5,0,7.7,0.2,2.3,WhalGr00,410.0,661.0,4894.0,42.0,2014
81,GriffWhalen,IND,23,WR,9,40.0,24,60.0%,259,10.8,2,6.5,2.7,28.8,WhalGr00,350.0,582.0,3725.0,23.0,2013
82,DedeWestbrook,MIN,28,WR,15,15.0,10,66.7%,68,6.8,0,4.5,0.7,4.5,WestDe00,398.0,604.0,4238.0,34.0,2021
83,DedeWestbrook,JAX,27,WR,2,1.0,1,100.0%,4,4.0,0,4.0,0.5,2.0,WestDe00,387.0,616.0,3699.0,25.0,2020
84,DedeWestbrook,JAX,26,WR,15,101.0,66,65.3%,660,10.0,3,6.5,4.4,44.0,WestDe00,364.0,589.0,3760.0,24.0,2019
85,DedeWestbrook,JAX,25,WR,16,101.0,66,65.3%,717,10.9,5,7.1,4.1,44.8,WestDe00,329.0,536.0,3109.0,15.0,2018
86,DedeWestbrook,JAX,24,WR,7,51.0,27,52.9%,339,12.6,1,6.6,3.9,48.4,WestDe00,316.0,527.0,3593.0,21.0,2017
87,EricWeems,TEN,32,WR,16,2.0,1,50.0%,5,5.0,0,2.5,0.1,0.3,WeemEr00,306.0,496.0,3191.0,14.0,2017
88,EricWeems,ATL,30,WR,16,1.0,1,100.0%,11,11.0,0,11.0,0.1,0.7,WeemEr00,410.0,621.0,4379.0,21.0,2015
89,EricWeems,ATL,29,WR,16,11.0,10,90.9%,102,10.2,2,9.3,0.6,6.4,WeemEr00,418.0,632.0,4553.0,28.0,2014
90,EricWeems,CHI,28,WR,16,2.0,1,50.0%,8,8.0,0,4.0,0.1,0.5,WeemEr00,373.0,579.0,4281.0,32.0,2013
91,JustinWatson,KAN,26,WR,17,34.0,15,44.1%,315,21.0,2,9.3,0.9,18.5,WatsJu01,435.0,651.0,5062.0,41.0,2022
92,JustinWatson,TAM,24,WR,11,11.0,7,63.6%,94,13.4,0,8.5,0.6,8.5,WatsJu01,410.0,626.0,4626.0,42.0,2020
93,JustinWatson,TAM,23,WR,16,26.0,15,57.7%,159,10.6,2,6.1,0.9,9.9,WatsJu01,382.0,630.0,4845.0,33.0,2019
94,JustinWatson,TAM,22,WR,12,3.0,1,33.3%,5,5.0,0,1.7,0.1,0.4,WatsJu01,408.0,625.0,5125.0,36.0,2018
95,SammyWatkins,BAL,28,WR,13,49.0,27,55.1%,394,14.6,1,8.0,2.1,30.3,WatkSa00,396.0,611.0,3961.0,21.0,2021
96,SammyWatkins,KAN,27,WR,10,55.0,37,67.3%,421,11.4,2,7.7,3.7,42.1,WatkSa00,420.0,630.0,4854.0,40.0,2020
97,SammyWatkins,KAN,26,WR,14,90.0,52,57.8%,673,12.9,3,7.5,3.7,48.1,WatkSa00,378.0,576.0,4498.0,30.0,2019
98,SammyWatkins,KAN,25,WR,10,55.0,40,72.7%,519,13.0,3,9.4,4.0,51.9,WatkSa00,385.0,583.0,4955.0,50.0,2018
99,SammyWatkins,LAR,24,WR,15,70.0,39,55.7%,593,15.2,8,8.5,2.6,39.5,WatkSa00,320.0,518.0,3831.0,28.0,2017
100,SammyWatkins,BUF,23,WR,8,52.0,28,53.8%,430,15.4,2,8.3,3.5,53.8,WatkSa00,286.0,474.0,3036.0,17.0,2016
101,SammyWatkins,BUF,22,WR,13,96.0,60,62.5%,1047,17.5,9,10.9,4.6,80.5,WatkSa00,295.0,465.0,3343.0,23.0,2015
102,SammyWatkins,BUF,21,WR,16,128.0,65,50.8%,982,15.1,6,7.7,4.1,61.4,WatkSa00,363.0,579.0,3614.0,23.0,2014
103,JamesWashington,PIT,25,WR,15,44.0,24,54.5%,285,11.9,2,6.5,1.6,19.0,WashJa00,425.0,664.0,3778.0,23.0,2021
104,JamesWashington,PIT,24,WR,16,56.0,30,53.6%,392,13.1,5,7.0,1.9,24.5,WashJa00,428.0,656.0,4003.0,35.0,2020
105,JamesWashington,PIT,23,WR,15,80.0,44,55.0%,735,16.7,3,9.2,2.9,49.0,WashJa00,315.0,510.0,2981.0,18.0,2019
106,JamesWashington,PIT,22,WR,14,38.0,16,42.1%,217,13.6,1,5.7,1.1,15.5,WashJa00,459.0,689.0,5008.0,35.0,2018
107,MikeWallace,BAL,31,WR,15,92.0,52,56.5%,748,14.4,4,8.1,3.5,49.9,WallMi00,363.0,567.0,3030.0,20.0,2017
108,MikeWallace,BAL,30,WR,16,116.0,72,62.1%,1017,14.1,4,8.8,4.5,63.6,WallMi00,439.0,679.0,4100.0,20.0,2016
109,MikeWallace,MIN,29,WR,16,72.0,39,54.2%,473,12.1,2,6.6,2.4,29.6,WallMi00,294.0,454.0,2928.0,14.0,2015
110,MikeWallace,MIA,28,WR,16,115.0,67,58.3%,862,12.9,10,7.5,4.2,53.9,WallMi00,394.0,595.0,3729.0,27.0,2014
111,MikeWallace,MIA,27,WR,16,141.0,73,51.8%,930,12.7,5,6.6,4.6,58.1,WallMi00,357.0,594.0,3567.0,24.0,2013
112,MarquezValdesScantling,KAN,28,WR,17,81.0,42,51.9%,687,16.4,2,8.5,2.5,40.4,ValdMa00,435.0,651.0,5062.0,41.0,2022
113,MarquezValdesScantling,GNB,27,WR,11,55.0,26,47.3%,430,16.5,3,7.8,2.4,39.1,ValdMa00,402.0,593.0,4315.0,39.0,2021
114,MarquezValdesScantling,GNB,26,WR,16,63.0,33,52.4%,690,20.9,6,11.0,2.1,43.1,ValdMa00,372.0,526.0,4106.0,48.0,2020
115,MarquezValdesScantling,GNB,25,WR,16,56.0,26,46.4%,452,17.4,2,8.1,1.6,28.3,ValdMa00,356.0,573.0,3733.0,26.0,2019
116,MarquezValdesScantling,GNB,24,WR,16,73.0,38,52.1%,581,15.3,2,8.0,2.4,36.3,ValdMa00,392.0,640.0,4238.0,25.0,2018
117,LaquonTreadwell,SEA,27,WR,6,10.0,6,60.0%,42,7.0,0,4.2,1.0,7.0,TreaLa00,399.0,573.0,3934.0,30.0,2022
118,LaquonTreadwell,JAX,26,WR,12,51.0,33,64.7%,434,13.2,1,8.5,2.8,36.2,TreaLa00,361.0,604.0,3436.0,12.0,2021
119,LaquonTreadwell,ATL,25,WR,5,7.0,6,85.7%,49,8.2,2,7.0,1.2,9.8,TreaLa00,408.0,628.0,4363.0,27.0,2020
120,LaquonTreadwell,MIN,24,WR,13,16.0,9,56.3%,184,20.4,1,11.5,0.7,14.2,TreaLa00,319.0,466.0,3523.0,26.0,2019
121,LaquonTreadwell,MIN,23,WR,15,53.0,35,66.0%,302,8.6,1,5.7,2.3,20.1,TreaLa00,425.0,606.0,4036.0,30.0,2018
122,LaquonTreadwell,MIN,22,WR,16,35.0,20,57.1%,200,10.0,0,5.7,1.3,12.5,TreaLa00,357.0,527.0,3753.0,25.0,2017
123,LaquonTreadwell,MIN,21,WR,9,3.0,1,33.3%,15,15.0,0,5.0,0.1,1.7,TreaLa00,414.0,588.0,3836.0,20.0,2016
124,MichaelThomas,NOR,29,WR,3,22.0,16,72.7%,171,10.7,3,7.8,5.3,57.0,ThomMi05,338.0,512.0,3692.0,24.0,2022
125,MichaelThomas,NOR,27,WR,7,55.0,40,72.7%,438,11.0,0,8.0,5.7,62.6,ThomMi05,370.0,522.0,3758.0,28.0,2020
126,MichaelThomas,NOR,26,WR,16,185.0,149,80.5%,1725,11.6,9,9.3,9.3,107.8,ThomMi05,418.0,581.0,4244.0,36.0,2019
127,MichaelThomas,NOR,25,WR,16,147.0,125,85.0%,1405,11.2,9,9.6,7.8,87.8,ThomMi05,381.0,519.0,4042.0,33.0,2018
128,MichaelThomas,NOR,24,WR,16,149.0,104,69.8%,1245,12.0,5,8.4,6.5,77.8,ThomMi05,386.0,536.0,4189.0,23.0,2017
129,MichaelThomas,NOR,23,WR,15,121.0,92,76.0%,1137,12.4,9,9.4,6.1,75.8,ThomMi05,472.0,674.0,5074.0,38.0,2016
130,MikeThomas,CIN,28,WR,10,10.0,2,20.0%,38,19.0,0,3.8,0.2,3.8,ThomMi04,418.0,610.0,4240.0,35.0,2022
131,MikeThomas,CIN,27,WR,12,11.0,5,45.5%,52,10.4,0,4.7,0.4,4.3,ThomMi04,384.0,555.0,4403.0,36.0,2021
132,MikeThomas,CIN,26,WR,14,21.0,13,61.9%,132,10.2,1,6.3,0.9,9.4,ThomMi04,372.0,581.0,3448.0,19.0,2020
133,MikeThomas,LAR,25,WR,16,5.0,2,40.0%,14,7.0,0,2.8,0.1,0.9,ThomMi04,397.0,632.0,4499.0,22.0,2019
134,MikeThomas,LAR,23,WR,8,7.0,5,71.4%,93,18.6,0,13.3,0.6,11.6,ThomMi04,320.0,518.0,3831.0,28.0,2017
135,MikeThomas,LAR,22,WR,15,9.0,3,33.3%,37,12.3,0,4.1,0.2,2.5,ThomMi04,312.0,536.0,2951.0,14.0,2016
136,DemaryiusThomas,NYJ,32,WR,11,58.0,36,62.1%,433,12.0,1,7.5,3.3,39.4,ThomDe03,323.0,521.0,3111.0,19.0,2019
137,DemaryiusThomas,DEN,30,WR,16,140.0,83,59.3%,949,11.4,5,6.8,5.2,59.3,ThomDe03,332.0,566.0,3333.0,19.0,2017
138,DemaryiusThomas,DEN,29,WR,16,144.0,90,62.5%,1083,12.0,5,7.5,5.6,67.7,ThomDe03,339.0,570.0,3685.0,20.0,2016
139,DemaryiusThomas,DEN,28,WR,16,177.0,105,59.3%,1304,12.4,6,7.4,6.6,81.5,ThomDe03,368.0,606.0,3970.0,19.0,2015
140,DemaryiusThomas,DEN,27,WR,16,184.0,111,60.3%,1619,14.6,11,8.8,6.9,101.2,ThomDe03,399.0,607.0,4661.0,40.0,2014
141,DemaryiusThomas,DEN,26,WR,16,142.0,92,64.8%,1430,15.5,14,10.1,5.8,89.4,ThomDe03,461.0,675.0,5444.0,55.0,2013
142,AdamThielen,MIN,32,WR,17,107.0,70,65.4%,716,10.2,6,6.7,4.1,42.1,ThieAd00,448.0,672.0,4484.0,30.0,2022
143,AdamThielen,MIN,31,WR,13,95.0,67,70.5%,726,10.8,10,7.6,5.2,55.8,ThieAd00,398.0,604.0,4238.0,34.0,2021
144,AdamThielen,MIN,30,WR,15,108.0,74,68.5%,925,12.5,14,8.6,4.9,61.7,ThieAd00,349.0,516.0,4009.0,35.0,2020
145,AdamThielen,MIN,29,WR,10,48.0,30,62.5%,418,13.9,6,8.7,3.0,41.8,ThieAd00,319.0,466.0,3523.0,26.0,2019
146,AdamThielen,MIN,28,WR,16,153.0,113,73.9%,1373,12.2,9,9.0,7.1,85.8,ThieAd00,425.0,606.0,4036.0,30.0,2018
147,AdamThielen,MIN,27,WR,16,142.0,91,64.1%,1276,14.0,4,9.0,5.7,79.8,ThieAd00,357.0,527.0,3753.0,25.0,2017
148,AdamThielen,MIN,26,WR,16,92.0,69,75.0%,967,14.0,5,10.5,4.3,60.4,ThieAd00,414.0,588.0,3836.0,20.0,2016
149,AdamThielen,MIN,25,WR,16,18.0,12,66.7%,144,12.0,0,8.0,0.8,9.0,ThieAd00,294.0,454.0,2928.0,14.0,2015
150,AdamThielen,MIN,24,WR,16,13.0,8,61.5%,137,17.1,1,10.5,0.5,8.6,ThieAd00,322.0,517.0,3244.0,17.0,2014
151,TrentTaylor,CIN,28,WR,16,10.0,6,60.0%,62,10.3,0,6.2,0.4,3.9,TaylTr02,418.0,610.0,4240.0,35.0,2022
152,TrentTaylor,CIN,27,WR,4,3.0,2,66.7%,41,20.5,0,13.7,0.5,10.3,TaylTr02,384.0,555.0,4403.0,36.0,2021
153,TrentTaylor,SFO,26,WR,12,21.0,10,47.6%,86,8.6,0,4.1,0.8,7.2,TaylTr02,371.0,570.0,4033.0,25.0,2020
154,TrentTaylor,SFO,24,WR,14,41.0,26,63.4%,215,8.3,1,5.2,1.9,15.4,TaylTr02,331.0,532.0,3867.0,26.0,2018
155,TrentTaylor,SFO,23,WR,15,60.0,43,71.7%,430,10.0,2,7.2,2.9,28.7,TaylTr02,362.0,607.0,3925.0,15.0,2017
156,GoldenTate,NYG,32,WR,12,52.0,35,67.3%,388,11.1,2,7.5,2.9,32.3,TateGo00,321.0,517.0,3026.0,12.0,2020
157,GoldenTate,NYG,31,WR,11,85.0,49,57.6%,676,13.8,6,8.0,4.5,61.5,TateGo00,376.0,607.0,3731.0,30.0,2019
158,GoldenTate,DET,29,WR,16,120.0,92,76.7%,1003,10.9,5,8.4,5.8,62.7,TateGo00,374.0,570.0,4183.0,29.0,2017
159,GoldenTate,DET,28,WR,16,135.0,91,67.4%,1077,11.8,4,8.0,5.7,67.3,TateGo00,388.0,594.0,4111.0,24.0,2016
160,GoldenTate,DET,27,WR,16,128.0,90,70.3%,813,9.0,6,6.4,5.6,50.8,TateGo00,420.0,632.0,4212.0,33.0,2015
161,GoldenTate,DET,26,WR,16,144.0,99,68.8%,1331,13.4,4,9.2,6.2,83.2,TateGo00,365.0,604.0,4030.0,22.0,2014
162,GoldenTate,SEA,25,WR,16,99.0,64,64.6%,898,14.0,5,9.1,4.0,56.1,TateGo00,267.0,420.0,3236.0,27.0,2013
163,BrandonTate,BUF,30,WR,13,14.0,6,42.9%,81,13.5,1,5.8,0.5,6.2,TateBr00,289.0,476.0,2825.0,16.0,2017
164,BrandonTate,BUF,29,WR,15,12.0,8,66.7%,117,14.6,0,9.8,0.5,7.8,TateBr00,286.0,474.0,3036.0,17.0,2016
165,BrandonTate,CIN,28,WR,16,3.0,2,66.7%,59,29.5,1,19.7,0.1,3.7,TateBr00,334.0,505.0,3923.0,31.0,2015
166,BrandonTate,CIN,27,WR,16,26.0,17,65.4%,193,11.4,1,7.4,1.1,12.1,TateBr00,323.0,503.0,3421.0,20.0,2014
167,BrandonTate,CIN,26,WR,16,2.0,1,50.0%,6,6.0,0,3.0,0.1,0.4,TateBr00,364.0,587.0,4136.0,33.0,2013
168,AudenTate,CIN,24,WR,7,4.0,3,75.0%,39,13.0,1,9.8,0.4,5.6,TateAu00,384.0,555.0,4403.0,36.0,2021
169,AudenTate,CIN,23,WR,9,22.0,14,63.6%,150,10.7,0,6.8,1.6,16.7,TateAu00,372.0,581.0,3448.0,19.0,2020
170,AudenTate,CIN,22,WR,12,80.0,40,50.0%,575,14.4,1,7.2,3.3,47.9,TateAu00,356.0,616.0,3652.0,18.0,2019
171,AudenTate,CIN,21,WR,7,12.0,4,33.3%,35,8.8,0,2.9,0.6,5.0,TateAu00,331.0,542.0,3290.0,27.0,2018
172,CourtlandSutton,DEN,27,WR,15,109.0,64,58.7%,829,13.0,2,7.6,4.3,55.3,SuttCo00,345.0,571.0,3592.0,18.0,2022
173,CourtlandSutton,DEN,26,WR,17,98.0,58,59.2%,776,13.4,2,7.9,3.4,45.6,SuttCo00,354.0,541.0,3593.0,20.0,2021
174,CourtlandSutton,DEN,25,WR,1,6.0,3,50.0%,66,22.0,0,11.0,3.0,66.0,SuttCo00,317.0,556.0,3451.0,21.0,2020
